ID,Name,Category,Address,Phone,Email,Has_Website,Rating,Review_Count,Priority_Score,Status,Latitude,Longitude,Created_At
117,"Martin Business Systems","Computer consultant","1780 Stone Rim Loop, Buda, TX 78610, United States",+15127663337,,No,5.00,5,85,new,,,Wed Oct 29 2025 17:51:49 GMT+0530 (India Standard Time)
113,"Maximum Entrepreneur","Business management consultant","5103 Ponciana Dr, Austin, TX 78744, United States",+15127574083,,No,,,60,new,,,Wed Oct 29 2025 17:47:17 GMT+0530 (India Standard Time)
114,"Central Metric","Business management consultant","1500 Crossing Pl #513, Austin, TX 78741, United States",+15123486185,,No,5.00,5,85,new,,,Wed Oct 29 2025 17:47:17 GMT+0530 (India Standard Time)
106,"Roots","Corporate office","1542 / 886, 6th Cross, Outer Ring Rd, HBR Layout 4th Block, Bengaluru, Karnataka 560043",09611168110,,No,,,60,new,,,Wed Oct 29 2025 17:11:07 GMT+0530 (India Standard Time)
85,"Silver Line Business Solutions","Employment agency","917, First Floor, 3rd Cross Rd, HRBR Layout 1st Block, Kalyan Nagar, Bengaluru, Karnataka 560043",09440201822,,No,,,60,new,,,Wed Oct 29 2025 16:49:23 GMT+0530 (India Standard Time)
71,"Mega Corporate Solutions Inc","Wholesaler","BKR Arcade. 28, B Channasandra Main Road, Post, OMBR Layout, Banaswadi, Bengaluru, Karnataka 560043",,,No,,,40,new,,,Wed Oct 29 2025 16:37:02 GMT+0530 (India Standard Time)
75,"The Corporate Store","Corporate office","19, Hanumanthappa Rd, Ramaswamipalya, Maruthi Sevanagar, Bengaluru, Karnataka 560033",,,No,5.00,5,65,new,,,Wed Oct 29 2025 16:37:02 GMT+0530 (India Standard Time)
63,"Max Global Support","Corporate office","NO. 218, SUNSHINE BUILDING, 3rd E-F Cross Rd, St Thomas Town, Ramaiah Layout, Kammanahalli, Bengaluru, Karnataka 560084",,,No,,,40,new,,,Wed Oct 29 2025 16:24:38 GMT+0530 (India Standard Time)
30,"Accencis Business Solutions LLP","Marketing agency","1st Floor, 27, opp. Narayana PU College, Pappamma Layout, Ramamurthy Nagar, Bengaluru, Karnataka 560016",09739015579,,No,4.50,4,85,new,,,Wed Oct 29 2025 14:36:46 GMT+0530 (India Standard Time)
31,"eTradeIndia Consultancy Services","Business management consultant","1 Block, Banaswadi, 63, Nanjappa Reddy Layout, 4th Cross, 9th Main Rd, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",07094956963,,No,4.90,4,85,new,,,Wed Oct 29 2025 14:36:46 GMT+0530 (India Standard Time)
33,"AR Groups","Business management consultant","#55 Ground Floor 5th Cross, Dodda Banaswadi Main Rd, Bhuvanagiri, Bengaluru, Karnataka 560043",09900442782,,No,5.00,5,85,new,,,Wed Oct 29 2025 14:36:46 GMT+0530 (India Standard Time)
34,"TALENT GROUP no1 business networks..","Business management consultant","No 7, Curzon complex, brigade, road, next to sweet Chariot, Doddanna Layout, Kadugondanahalli, Bengaluru, Karnataka 560045",09886365001,,No,4.70,4,85,new,,,Wed Oct 29 2025 14:36:46 GMT+0530 (India Standard Time)
25,"Context India","Business management consultant","79, 5th Street, Bank Ave Main Rd, opposite Kanti Sweets, Babusapalya, Bengaluru, Karnataka 560113",09448802706,,No,3.80,3,75,new,,,Wed Oct 29 2025 14:05:36 GMT+0530 (India Standard Time)
11,"Finz Business Solutions","Accounting firm","1st floor, Mythri Legacy, 9, Chelekere Main Rd, Chellikere, Chelekare, Kalyan Nagar, Bengaluru, Karnataka 560113",09900077353,,No,5.00,5,85,new,,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time)
14,"Commercial and Business Aviation Services Pvt Ltd","Aviation consultant","232, “Paramjyoti, 5th A Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",08025426822,,No,4.00,4,80,new,,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time)
5,"Chanakya Business Management Solutions","Business management consultant","Pappya Reddy Layout, Maruthi nagara, Bengaluru, Karnataka 560068",,,No,5.00,5,65,new,,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time)
8,"Bangalore Locals","Consultant","Not available",08618575198,,No,5.00,5,85,new,,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time)
